sentiment,std_afinn,return,next_day_return,label
1.0,-0.20005237,0.023331144318504915,-0.02538586608399107,0
0.9130434782608695,-0.11767061,-0.02538586608399107,0.01336730315056478,1
1.0,-0.25069135,0.01336730315056478,0.040543289159692186,1
1.0,-0.116870604,0.040543289159692186,-0.007550268740702637,0
0.6,-0.19047204,-0.007550268740702637,-0.01230391720271995,0
1.0,-0.12021612,-0.01230391720271995,-0.016356092663840305,0
1.0,-0.3918723,-0.016356092663840305,-9.65377304249504e-05,0
1.0,-0.72910064,-9.65377304249504e-05,-0.02243042456528188,0
1.0,-0.32630008,-0.02243042456528188,0.018197686970875093,1
0.75,0.27497336,0.018197686970875093,0.021466760185007594,1
1.0,-0.15144096,0.021466760185007594,-0.010935714692680398,0
1.0,0.4964746,-0.010935714692680398,0.010383821838862328,1
0.2,0.2591658,0.010383821838862328,0.021314903881213487,1
1.0,0.33410543,0.021314903881213487,0.00428599051739198,1
1.0,1.2474322,0.00428599051739198,0.017255649516370264,1
1.0,0.18422616,0.017255649516370264,0.01933408952297988,1
0.5555555555555556,-0.28414655,0.01933408952297988,-0.01565711195615238,0
1.0,0.118653975,-0.01565711195615238,-0.007634876282596514,0
1.0,0.5407098,-0.007634876282596514,0.012637258871386337,1
1.0,-0.29585588,0.012637258871386337,-0.00875302764553576,0
1.0,0.53550565,-0.00875302764553576,0.025616359710932235,1
0.6,0.23925996,0.025616359710932235,0.015514555693146637,1
0.8,-0.0054647983,0.015514555693146637,-0.0043649161949606,0
1.0,0.4476858,-0.0043649161949606,-0.018801092834691113,0
1.0,0.06244924,-0.018801092834691113,-0.023715473647319407,0
1.0,0.18890989,-0.023715473647319407,-0.04611863740256328,0
1.0,-0.41294906,-0.04611863740256328,0.0036906422947520223,1
0.7333333333333333,-0.2295031,0.0036906422947520223,0.002022275487605807,1
1.0,-0.08118505,0.002022275487605807,-0.016055004987250432,0
1.0,-0.08703971,-0.016055004987250432,-0.00018650527512564796,0
1.0,0.18422616,-0.00018650527512564796,0.035811072452334836,1
1.0,0.008586347,0.035811072452334836,-0.001532374949088089,0
1.0,-0.9164498,-0.001532374949088089,-0.09272319517442329,0
1.0,-0.23262556,-0.09272319517442329,0.009652832839896375,1
1.0,-0.092113756,0.009652832839896375,0.02907536324582627,1
1.0,-0.54175156,0.02907536324582627,-0.028062386759374225,0
1.0,-0.18481925,-0.028062386759374225,0.012908884116172858,1
1.0,-0.10348851,0.012908884116172858,-0.03687121021408768,0
0.6666666666666666,-0.116313,-0.03687121021408768,-0.005757572965154334,0
